metric,value
epochs,30
batch_size,32
learning_rate,0.001
train_samples,716
val_samples,153
test_samples,155
rmse_rad,1.0269757509231567
rmse_deg,58.84137619017534
mae_rad,0.8190614581108093
mae_deg,46.92876471158064
mean_error_rad,0.04069052264094353
mean_error_deg,2.3313952135075846
loss,0.2888655781745911
channel_1_rmse_rad,1.0642526149749756
channel_1_rmse_deg,60.97718048095703
channel_2_rmse_rad,0.9943473935127258
channel_2_rmse_deg,56.97190475463867
channel_3_rmse_rad,0.9671255946159363
channel_3_rmse_deg,55.41221237182617
channel_4_rmse_rad,1.1497400999069214
channel_4_rmse_deg,65.87525177001953
channel_5_rmse_rad,0.9450973272323608
channel_5_rmse_deg,54.15008544921875
channel_6_rmse_rad,1.0277509689331055
channel_6_rmse_deg,58.88578796386719
