model,model_path,noise_sigma,samples,rmse_rad,rmse_deg,mae_rad,mae_deg,mean_error_rad,mean_error_deg,farfield_mse
baseline_cnn,models\baseline_cnn_main_clean.pth,0.0,1000,0.0038286587223410606,0.2193659859860929,0.0031498956959694624,0.1804757292854733,0.0002775036555249244,0.015899788261030418,3.688688996916767e-09
baseline_cnn,models\baseline_cnn_main_clean.pth,0.01,1000,0.011523650027811527,0.6602565111794142,0.009591137059032917,0.5495316742141029,0.0012628881959244609,0.07235816362336223,5.044267504126765e-05
baseline_cnn,models\baseline_cnn_main_clean.pth,0.03,1000,0.035848718136548996,2.0539802501783466,0.03005717508494854,1.722149276453323,0.0024579998571425676,0.1408330178580284,0.00045320194074884056
baseline_cnn,models\baseline_cnn_main_clean.pth,0.05,1000,0.0613936185836792,3.517595233880757,0.052142150700092316,2.9875251698504006,0.0064011202193796635,0.36675717272631037,0.0012570187915116548
baseline_cnn,models\baseline_cnn_main_clean.pth,0.08,1000,0.10936824977397919,6.266339124781627,0.09207062423229218,5.275258185645267,0.011120619252324104,0.6371645487301003,0.0032141352370381356
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.0,1000,0.004172640852630138,0.23907471027957625,0.003096037544310093,0.17738988450301593,0.0009401256684213877,0.05386523301246097,4.7882112745867285e-09
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.01,1000,0.009895319119095802,0.5669600224593011,0.008069413714110851,0.46234334896353807,0.0017773979343473911,0.1018374001533761,5.043523968197405e-05
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.03,1000,0.030116911977529526,1.7255719482794398,0.0246284157037735,1.4111042759199406,0.002656780183315277,0.15222229159795855,0.0004531199727207422
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.05,1000,0.05488737300038338,3.1448148214822735,0.045806482434272766,2.6245181178239707,0.006490390747785568,0.37187199723887143,0.0012568576093763112
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.08,1000,0.11120256036520004,6.371437379974729,0.09479861706495285,5.431560661498662,0.010513431392610073,0.6023752469969048,0.003214203206822276
