model,model_path,mismatch_range,samples,rmse_rad,rmse_deg,mae_rad,mae_deg,mean_error_rad,mean_error_deg
baseline_cnn,models\baseline_cnn_main_clean.pth,0.0,1000,0.0038845392409712076,0.22256770386060248,0.0031658203806728125,0.1813881465090518,0.00030450974008999765,0.01744712292778251
baseline_cnn,models\baseline_cnn_main_clean.pth,0.05,1000,0.0038833217695355415,0.22249794788566107,0.0031642757821828127,0.18129964753453254,0.00032284308690577745,0.0184975463246763
baseline_cnn,models\baseline_cnn_main_clean.pth,0.1,1000,0.0038839494809508324,0.22253391310050943,0.0031629286240786314,0.1812224610608261,0.00037380604771897197,0.021417508890762948
baseline_cnn,models\baseline_cnn_main_clean.pth,0.2,1000,0.003936822526156902,0.22556331544082164,0.0031979933846741915,0.18323152385258834,0.0005747037939727306,0.03292810186479347
baseline_cnn,models\baseline_cnn_main_clean.pth,0.3,1000,0.004277748521417379,0.2450969360955441,0.003394373459741473,0.19448327333440588,0.0009344116551801562,0.05353784416965654
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.0,1000,0.004350357688963413,0.2492571349498901,0.0032396281603723764,0.18561702078106818,0.0011794725432991982,0.0675787987826053
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.05,1000,0.004358020145446062,0.24969616136704853,0.003247489919885993,0.18606746642074523,0.001192878931760788,0.06834692825996729
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.1,1000,0.004384364001452923,0.251205553132342,0.0032725015189498663,0.18750052548597854,0.0012329332530498505,0.07064187182109156
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.2,1000,0.004524674266576767,0.2592447391462999,0.0034131421707570553,0.19555864126249942,0.001373648177832365,0.07870424312563049
physics_cnn_lambda_0.01,models\sweep_lambda_0.01_main_clean.pth,0.3,1000,0.004933744203299284,0.2826827200461838,0.0037295492365956306,0.21368743074316776,0.0016405396163463593,0.09399599614065766
