metric,baseline_cnn,physics_cnn_lambda_0.1,relative_change_percent
rmse_rad,1.0269757509,1.0226855278,-0.4177540759
rmse_deg,58.8413761902,58.5955645121,-0.4177540759
mae_rad,0.8190614581,0.8164239526,-0.3220180229
phase_loss,0.2888655782,0.2838818210,-1.7252859421
farfield_loss,0.0001193535,0.0001150137,-3.6361610879
channel_1_rmse_rad,1.0642526150,1.0718975067,0.7183323470
channel_2_rmse_rad,0.9943473935,0.9540684223,-4.0507946543
channel_3_rmse_rad,0.9671255946,1.0079314709,4.2192916567
channel_4_rmse_rad,1.1497400999,1.1117705107,-3.3024494991
channel_5_rmse_rad,0.9450973272,0.9221594930,-2.4269284356
channel_6_rmse_rad,1.0277509689,1.0553513765,2.6855168823
