model,model_path,noise_sigma,samples,rmse_rad,rmse_deg,mae_rad,mae_deg,mean_error_rad,mean_error_deg,farfield_mse,channel_1_rmse_rad,channel_2_rmse_rad,channel_3_rmse_rad,channel_4_rmse_rad,channel_5_rmse_rad,channel_6_rmse_rad
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,0.0,512,1.013447642326355,58.06627266278395,0.8085682988166809,46.32755097026861,0.009605519473552704,0.5503557258652944,0.0001219025125465123,1.0402770042419434,1.0108860731124878,1.0001152753829956,1.0198097229003906,0.9746177196502686,1.033570408821106
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,0.01,512,1.0152368545532227,58.16878697203667,0.8069620132446289,46.23551758629728,0.0030759733635932207,0.17624029162855137,0.000173212043591775,1.0369600057601929,1.0163239240646362,0.9955894947052002,1.031427025794983,0.9655067324638367,1.043451189994812
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,0.03,512,1.0526164770126343,60.31048157875338,0.8249852657318115,47.268173886911505,0.02821296639740467,1.6164839021156985,0.0005827781205880456,1.075897455215454,1.0378416776657104,1.0718021392822266,1.0594865083694458,0.9868106842041016,1.0808660984039307
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,0.05,512,1.1301172971725464,64.75095148271875,0.8795130848884583,50.39238779063996,0.010991762392222881,0.6297815944849925,0.001396261912304908,1.1585041284561157,1.063646912574768,1.1499598026275635,1.2619752883911133,1.0354031324386597,1.0965704917907715
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,0.08,512,1.321244478225708,75.70173230729766,1.044219970703125,59.829397204563534,0.012852844782173634,0.7364137607552911,0.003396532207261771,1.4358601570129395,1.2225114107131958,1.2067997455596924,1.6348661184310913,1.2339264154434204,1.1252400875091553
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,0.0,512,1.0058515071868896,57.63104617868157,0.8086392879486084,46.33161834791935,0.0014967285096645355,0.08575622668068353,0.00012020073245366802,1.0380098819732666,1.0242382287979126,0.9437716007232666,1.0254849195480347,0.9757343530654907,1.0244578123092651
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,0.01,512,1.0177407264709473,58.31224826536362,0.8107487559318542,46.45248196037731,-0.0005765060777775943,-0.03303136512029693,0.00017471578212280292,1.0219427347183228,1.04937744140625,0.9759836196899414,1.0269123315811157,0.9860963821411133,1.04390549659729
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,0.03,512,1.2601274251937866,72.19998311229133,0.993574321269989,56.92761524134571,0.015553613193333149,0.8911563921569844,0.0006567739619640633,1.2321370840072632,1.3588273525238037,1.3875374794006348,1.1099714040756226,1.087487816810608,1.3501944541931152
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,0.05,512,1.586962103843689,90.92623079744526,1.3185439109802246,75.54700120184019,-0.019909709692001343,-1.140742336682387,0.0015789742901688442,1.5744073390960693,1.6913775205612183,1.6647955179214478,1.6220985651016235,1.3122135400772095,1.6268130540847778
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,0.08,512,1.7108837366104126,98.0264173453486,1.4585727453231812,83.57006241982816,-0.02994469739496708,-1.7157047795280045,0.0035808359389193356,1.6942001581192017,1.7713760137557983,1.7405509948730469,1.7602851390838623,1.5876903533935547,1.70463228225708
