model,model_path,perturbation_type,level_name,level_value,samples,rmse_rad,rmse_deg,mae_rad,mae_deg,mean_error_rad,mean_error_deg,farfield_mse,channel_1_rmse_rad,channel_2_rmse_rad,channel_3_rmse_rad,channel_4_rmse_rad,channel_5_rmse_rad,channel_6_rmse_rad
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0,0.0,256,1.0577218532562256,60.602998090337515,0.8472573161125183,48.54426837482874,0.04571034014225006,2.6190095702583553,0.0001227845041285036,1.0762100219726562,1.0251309871673584,1.0462995767593384,1.0719237327575684,1.0155831575393677,1.108313798904419
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.05,0.05,256,1.0580766201019287,60.62332473330748,0.8481356501579285,48.59459320863339,0.04954925552010536,2.838963219317334,0.00012347909432719462,1.0741112232208252,1.023424744606018,1.048337697982788,1.0708421468734741,1.0234646797180176,1.105824589729309
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.1,0.1,256,1.0665618181228638,61.109490768239816,0.8499658703804016,48.6994571029606,0.049783289432525635,2.85237237476195,0.00012313888510107063,1.0644787549972534,1.038291573524475,1.050511121749878,1.097006916999817,1.0270382165908813,1.1190868616104126
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.2,0.2,256,1.0682966709136963,61.20889051123101,0.8478450775146484,48.57794462253149,0.040124207735061646,2.298947759525204,0.00012249982137291227,1.0777188539505005,1.0395808219909668,1.0803171396255493,1.0733617544174194,1.0411317348480225,1.0964468717575073
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.3,0.3,256,1.0798407793045044,61.870319200265875,0.8535721302032471,48.90608057063724,0.04561900720000267,2.613776578137068,0.00012660430729738437,1.082278847694397,1.0871996879577637,1.0444896221160889,1.1002600193023682,1.0172368288040161,1.143110990524292
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,position,position_0um,0.0,256,1.0577218532562256,60.602998090337515,0.8472573161125183,48.54426837482874,0.04571034014225006,2.6190095702583553,0.0001227845041285036,1.0762100219726562,1.0251309871673584,1.0462995767593384,1.0719237327575684,1.0155831575393677,1.108313798904419
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,position,position_10um,1e-05,256,1.0584468841552734,60.64453930086953,0.8478991985321045,48.58104552841468,0.0416366308927536,2.3856032232988023,0.00012279934890102595,1.0759800672531128,1.0251684188842773,1.0501586198806763,1.073660135269165,1.0137739181518555,1.1089798212051392
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,position,position_20um,2e-05,256,1.0585403442382812,60.64989416917882,0.848837673664093,48.6348161926556,0.047983091324567795,2.7492286208885295,0.00012314294326642994,1.0744941234588623,1.0332227945327759,1.0591808557510376,1.0680725574493408,1.0119349956512451,1.1019549369812012
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,position,position_50um,5e-05,256,1.0619761943817139,60.84675388143693,0.8480293154716492,48.58850067989374,0.03507819026708603,2.0098322552609114,0.0001234472310898127,1.0731287002563477,1.032625675201416,1.0411779880523682,1.1002298593521118,1.0154460668563843,1.1059620380401611
baseline_cnn,D:\CBC_AI\models\baseline_cnn_main_clean_seven_beam_2026-06-08.pth,position,position_100um,0.0001,256,1.0593409538269043,60.69576571964463,0.8422133922576904,48.25527282576174,0.04518920183181763,2.5891505445279988,0.00013307193876244128,1.0661938190460205,1.0368491411209106,1.009770154953003,1.0841765403747559,1.0407378673553467,1.1149815320968628
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0,0.0,256,1.041043996810913,59.64742730469605,0.8377895951271057,48.00180792075716,0.05392774939537048,3.0898324389939056,0.00012258091737749055,1.0700008869171143,1.0267924070358276,0.9975125789642334,1.1114814281463623,1.0244742631912231,1.0116620063781738
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.05,0.05,256,1.0377216339111328,59.457069932527794,0.8352497220039368,47.85628391030087,0.058260563760995865,3.3380844155578933,0.00012287025856494438,1.0620388984680176,1.0222020149230957,0.9941666722297668,1.1167171001434326,1.0147621631622314,1.011536955833435
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.1,0.1,256,1.0411239862442017,59.65201036162913,0.8375940918922424,47.99060641051834,0.05064018443226814,2.9014688417330596,0.00012141647130192723,1.0362164974212646,1.0430748462677002,1.005679726600647,1.1409538984298706,0.9946243762969971,1.0195287466049194
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.2,0.2,256,1.0549601316452026,60.44476309783583,0.836444079875946,47.92471557559522,0.05772899091243744,3.3076275348317488,0.00012557492300402373,1.068672776222229,1.0385311841964722,1.030226707458496,1.1252111196517944,1.0299257040023804,1.0338386297225952
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,amplitude,amplitude_0.3,0.3,256,1.065019130706787,61.02110129019068,0.8401430249214172,48.13664951535155,0.030525416135787964,1.7489775124611926,0.00012693501594185364,1.1046415567398071,1.08817458152771,1.0215319395065308,1.0940604209899902,1.0099003314971924,1.0681020021438599
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,position,position_0um,0.0,256,1.041043996810913,59.64742730469605,0.8377895951271057,48.00180792075716,0.05392774939537048,3.0898324389939056,0.00012258091737749055,1.0700008869171143,1.0267924070358276,0.9975125789642334,1.1114814281463623,1.0244742631912231,1.0116620063781738
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,position,position_10um,1e-05,256,1.0419466495513916,59.699145497091386,0.8378973603248596,48.00798241176685,0.06644508242607117,3.807022792412755,0.0001224836778419558,1.0698087215423584,1.0268383026123047,1.001067876815796,1.11448073387146,1.0240073204040527,1.0110565423965454
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,position,position_20um,2e-05,256,1.0427912473678589,59.74753738736093,0.8393705487251282,48.09238988952987,0.06011950969696045,3.4445941720316604,0.00012256654190423433,1.076446294784546,1.0314706563949585,1.001427173614502,1.1108654737472534,1.023247241973877,1.0089101791381836
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,position,position_50um,5e-05,256,1.0368894338607788,59.40938838193194,0.8354846835136414,47.86974621315496,0.0490388423204422,2.809718697168867,0.00012339078421064187,1.0616787672042847,1.0333513021469116,1.0003411769866943,1.1203616857528687,1.005502462387085,0.9944508075714111
physics_cnn_lambda_0.1,D:\CBC_AI\models\physics_cnn_lambda_0.1_main_clean_seven_beam_2026-06-08.pth,position,position_100um,0.0001,256,1.0488035678863525,60.09201797815052,0.8379030227661133,48.00830684575242,0.04567103460431099,2.6167575288229554,0.00013106761070957873,1.0586503744125366,1.0388736724853516,1.0104988813400269,1.1294903755187988,1.0299358367919922,1.0209360122680664
