perturbation_type,level_name,level_value,baseline_rmse_rad,physics_rmse_rad,rmse_change_percent,baseline_farfield_mse,physics_farfield_mse,farfield_change_percent
amplitude,amplitude_0,0.0,1.0577218532562256,1.041043996810913,-1.5767714729509714,0.0001227845041285036,0.00012258091737749055,-0.16580817950772794
amplitude,amplitude_0.05,0.05,1.0580766201019287,1.0377216339111328,-1.923772419131142,0.00012347909432719462,0.00012287025856494438,-0.49306788778102434
amplitude,amplitude_0.1,0.1,1.0665618181228638,1.0411239862442017,-2.38503117647999,0.00012313888510107063,0.00012141647130192723,-1.3987570195472079
amplitude,amplitude_0.2,0.2,1.0682966709136963,1.0549601316452026,-1.2483928511250655,0.00012249982137291227,0.00012557492300402373,2.510290706261753
amplitude,amplitude_0.3,0.3,1.0798407793045044,1.065019130706787,-1.372577224511145,0.00012660430729738437,0.00012693501594185364,0.2612143706078324
position,position_0um,0.0,1.0577218532562256,1.041043996810913,-1.5767714729509714,0.0001227845041285036,0.00012258091737749055,-0.16580817950772794
position,position_10um,1e-05,1.0584468841552734,1.0419466495513916,-1.5589100266519622,0.00012279934890102595,0.0001224836778419558,-0.2570624859945961
position,position_20um,2e-05,1.0585403442382812,1.0427912473678589,-1.487812623878338,0.00012314294326642994,0.00012256654190423433,-0.46807502476899465
position,position_50um,5e-05,1.0619761943817139,1.0368894338607788,-2.3622714570867247,0.0001234472310898127,0.00012339078421064187,-0.045725512571252167
position,position_100um,0.0001,1.0593409538269043,1.0488035678863525,-0.9947114668308727,0.00013307193876244128,0.00013106761070957873,-1.5061988812236773
