sample_index,state,main_lobe_ratio,total_energy,main_lobe_energy,peak_intensity
0,before,0.4757281535823505,118378371.08918388,56315923.90234375,4926504.5
0,baseline_compensated,0.5912068449392338,120652927.78682707,71330836.76953125,10464911.0
0,physics_compensated,0.6045582272041019,120863484.67900601,73069014.03125,10965982.0
0,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
1,before,0.444572832070314,117966497.69070625,52444699.96777344,7454678.5
1,baseline_compensated,0.571652337869633,120324945.8063183,68784036.57421875,9590533.0
1,physics_compensated,0.5578120347546208,120114071.51207483,67001074.6328125,9109910.0
1,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
2,before,0.42634803226623874,117846216.1171352,50243502.3515625,4302801.5
2,baseline_compensated,0.5924185406184131,120643976.90822974,71471728.734375,10319123.0
2,physics_compensated,0.6167588842219226,121029745.72284922,74646170.9296875,11249683.0
2,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
3,before,0.40009668386873526,117279883.88025409,46923292.625,6982117.5
3,baseline_compensated,0.45280312151879154,118832097.04050033,53807544.4765625,7220250.0
3,physics_compensated,0.47128633549288024,119171601.50304416,56163947.3671875,8277290.5
3,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
4,before,0.3292025309048621,116545920.79924783,38367212.09375,4204439.0
4,baseline_compensated,0.4633572400519398,118768147.36418322,55032080.96875,6114364.5
4,physics_compensated,0.4722019656601291,118902189.08292599,56145847.40625,6446544.5
4,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
5,before,0.30681803385928497,116677653.90741602,35798808.3671875,4175291.5
5,baseline_compensated,0.5043380706416095,119140485.90548266,60087082.796875,6139125.5
5,physics_compensated,0.5198959933315599,119363130.52700134,62056413.3125,6596031.0
5,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
6,before,0.36672903551620845,117086820.17056897,42939136.6328125,5977946.0
6,baseline_compensated,0.569937550975903,120587066.84093058,68727097.5546875,11265132.0
6,physics_compensated,0.5560120808757516,120353108.30315158,66917782.1875,10640391.0
6,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
7,before,0.39729299580880684,117658441.522939,46744874.71484375,3942011.5
7,baseline_compensated,0.5551424661132615,120082705.38869298,66663009.20703125,9088210.0
7,physics_compensated,0.556390421205255,120144993.52087316,66847523.55078125,9397748.0
7,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
8,before,0.2906328200296397,116377947.55075525,33823251.0859375,4101705.75
8,baseline_compensated,0.43771351680451165,118261283.84835058,51764562.455078125,4437381.5
8,physics_compensated,0.3708756991714931,117443091.24439108,43556788.578125,3696543.75
8,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
9,before,0.5142723543722587,118842363.29085249,61117341.96875,6972286.5
9,baseline_compensated,0.5896304683632647,120581219.14240548,71098360.71875,10071124.0
9,physics_compensated,0.6099978150020519,120886056.70313254,73740230.453125,10761256.0
9,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
10,before,0.36946169946438867,117277873.51123704,43329682.45703125,4681661.0
10,baseline_compensated,0.4392270523256563,118297189.53620875,51959325.85839844,4572317.5
10,physics_compensated,0.4289585535152995,118223102.45113808,50712811.01953125,4624914.0
10,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
11,before,0.41875520078327705,117557146.2812914,49227666.39453125,3766110.75
11,baseline_compensated,0.4943794771940524,118983965.3851031,58823230.6015625,6689074.0
11,physics_compensated,0.49186438097222945,118994557.52574486,58529184.376464844,6759874.5
11,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
12,before,0.31219943227901786,116627477.60647383,36411032.296875,3891608.25
12,baseline_compensated,0.4955438977085496,119389256.06366274,59162617.29431152,8278823.5
12,physics_compensated,0.5081183878036509,119465075.9009372,60702401.765625,8017472.5
12,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
13,before,0.3583541890125937,116840323.20368257,41870219.265625,2895475.0
13,baseline_compensated,0.3578728171210803,117120882.72944385,41914380.24609375,4608153.0
13,physics_compensated,0.3307606515552915,116838882.03836061,38645704.75,3861485.5
13,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
14,before,0.28196785926421275,116198657.78551407,32764286.78515625,5329984.0
14,baseline_compensated,0.5695968696055328,120343051.35067964,68547025.328125,9795633.0
14,physics_compensated,0.5701303771693198,120351138.07277395,68615839.7421875,9811984.0
14,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
15,before,0.22159728116790506,115842893.67611596,25670470.28125,4598873.0
15,baseline_compensated,0.43406278431270523,118783766.2656238,51559612.31640625,7918748.5
15,physics_compensated,0.4788061163081692,119350751.25631806,57145869.6875,8895914.0
15,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
16,before,0.30918771519272953,116456313.63071921,36006861.53125,4782630.5
