metric,description,two_beam,seven_beam,seven_vs_two_factor,absolute_delta
num_beams,光束数量,2,7,3.5,5
predicted_phase_count,待预测相位数量,1,6,6.0,5
network_output_dim,网络输出维度,2,12,6.0,10
main_dataset_samples,主数据集样本数,2000,1024,0.512,-976
train_samples,训练样本数,1400,716,0.5114285714285715,-684
test_samples,测试样本数,300,155,0.5166666666666667,-145
baseline_rmse_rad,普通 CNN 相位 RMSE,0.0037421337328851223,1.0269757509231567,274.4358764889398,1.0232336171902716
physics_rmse_rad,物理约束 CNN 相位 RMSE,0.0042908675968647,1.0226855278015137,238.34003373788116,1.018394660204649
baseline_mae_rad,普通 CNN 相位 MAE,0.0030820819083601236,0.8190614581108093,265.7494130474311,0.8159793762024492
physics_mae_rad,物理约束 CNN 相位 MAE,0.0032195744570344687,0.8164239525794983,253.58132370434498,0.8132043781224638
physics_farfield_mse,物理约束 CNN 远场 MSE,4.816133659287421e-09,0.0001150137,23880.91945459359,0.00011500888386634071
