metric,value
model_name,residual_cnn
epochs,8
batch_size,64
learning_rate,0.001
parameter_count,1008492
train_seconds,860.2141408000025
train_samples,716
val_samples,153
test_samples,155
rmse_rad,0.9869125485420227
rmse_deg,56.54592377995789
mae_rad,0.7891137003898621
mae_deg,45.21288458829004
mean_error_rad,-0.03862617164850235
mean_error_deg,-2.2131166142070624
loss,0.28853711755045
channel_1_rmse_rad,1.1304956674575806
channel_2_rmse_rad,1.0036193132400513
channel_3_rmse_rad,0.8914212584495544
channel_4_rmse_rad,1.0120426416397095
channel_5_rmse_rad,0.9442382454872131
channel_6_rmse_rad,0.9210091829299927
