metric,value
model_name,wide_cnn
epochs,2
batch_size,128
learning_rate,0.001
parameter_count,2193164
train_seconds,8.943379700009245
train_samples,67
val_samples,14
test_samples,15
rmse_rad,1.7814292907714844
rmse_deg,102.06837986218959
mae_rad,1.5309380292892456
mae_deg,87.71628777434938
mean_error_rad,0.5432466864585876
mean_error_deg,31.1257423685438
loss,0.5194994807243347
channel_1_rmse_rad,2.0409231185913086
channel_2_rmse_rad,1.663509488105774
channel_3_rmse_rad,1.7055411338806152
channel_4_rmse_rad,1.6406217813491821
channel_5_rmse_rad,1.7656540870666504
channel_6_rmse_rad,1.8412675857543945
