metric,value
model_name,residual_cnn
epochs,1
batch_size,16
learning_rate,0.001
device,cpu
sample_scope,first_24
parameter_count,1008492
model_saved,False
train_seconds,2.7404787999985274
train_samples,16
val_samples,3
test_samples,5
rmse_rad,1.8127695322036743
rmse_deg,103.86404342517511
mae_rad,1.5768764019012451
mae_deg,90.34836264271632
mean_error_rad,0.2705928087234497
mean_error_deg,15.503825906444433
loss,0.49966251850128174
channel_1_rmse_rad,1.3947646617889404
channel_2_rmse_rad,1.9679772853851318
channel_3_rmse_rad,1.9093583822250366
channel_4_rmse_rad,1.859836220741272
channel_5_rmse_rad,1.6393920183181763
channel_6_rmse_rad,2.0263888835906982
