metric,value
model_name,residual_cnn
epochs,50
batch_size,64
learning_rate,0.001
device,cuda
sample_scope,full
parameter_count,1008492
model_saved,True
train_seconds,683.044776499999
train_samples,716
val_samples,153
test_samples,155
rmse_rad,1.319034218788147
rmse_deg,75.57509376989645
mae_rad,1.0308418273925781
mae_deg,59.06288605514802
mean_error_rad,0.028218911960721016
mean_error_deg,1.616824557800553
loss,0.5540492899956242
channel_1_rmse_rad,1.2801433801651
channel_2_rmse_rad,1.20999276638031
channel_3_rmse_rad,1.326952576637268
channel_4_rmse_rad,1.3964126110076904
channel_5_rmse_rad,1.4433975219726562
channel_6_rmse_rad,1.2418102025985718
