metric,value
model_name,residual_cnn
epochs,50
batch_size,64
learning_rate,0.001
device,cuda
sample_scope,full
parameter_count,1008492
model_saved,True
train_seconds,792.383452099999
best_epoch,17
best_val_rmse_rad,0.9507136940956116
best_val_loss,0.2604319240922242
train_samples,716
val_samples,153
test_samples,155
rmse_rad,1.2693841457366943
rmse_deg,72.730354131532
mae_rad,0.9835106134414673
mae_deg,56.35100725651865
mean_error_rad,0.06735788285732269
mean_error_deg,3.8593224046611887
loss,0.503288750110134
best_checkpoint_test_rmse_rad,0.9920714497566223
best_checkpoint_test_rmse_deg,56.84150704647936
best_checkpoint_test_mae_rad,0.8124558329582214
best_checkpoint_test_mae_deg,46.5502902692919
best_checkpoint_test_loss,0.27436995429377403
channel_1_rmse_rad,1.2578665018081665
channel_2_rmse_rad,1.3873062133789062
channel_3_rmse_rad,1.1954247951507568
channel_4_rmse_rad,1.3305741548538208
channel_5_rmse_rad,1.3302594423294067
channel_6_rmse_rad,1.091839075088501
