metric,value
lambda_phy,0.2
model_name,residual_cnn
parameter_count,1008492
epochs,50
batch_size,32
learning_rate,0.001
train_samples,716
val_samples,153
test_samples,155
best_epoch,11
best_val_rmse_rad,0.9654783010482788
best_val_total_loss,0.2629694878275878
rmse_rad,1.1857725381851196
rmse_deg,67.9397619005226
mae_rad,0.8891618251800537
mae_deg,50.94521988696621
mean_error_rad,0.02113920822739601
mean_error_deg,1.2111874136780176
total_loss,0.3780839645093487
phase_loss,0.37806879666543775
farfield_loss,7.583845398321207e-05
best_checkpoint_test_rmse_rad,0.9990290999412537
best_checkpoint_test_rmse_deg,57.24015103738716
best_checkpoint_test_mae_rad,0.809739887714386
best_checkpoint_test_mae_deg,46.3946780694315
best_checkpoint_total_loss,0.27586464247395914
best_checkpoint_phase_loss,0.27584284601673004
best_checkpoint_farfield_loss,0.00010895227258574338
channel_1_rmse_rad,1.2049726247787476
channel_1_rmse_deg,69.03984069824219
channel_2_rmse_rad,1.1298484802246094
channel_2_rmse_deg,64.73554229736328
channel_3_rmse_rad,1.183923363685608
channel_3_rmse_deg,67.83380889892578
channel_4_rmse_rad,1.2700226306915283
channel_4_rmse_deg,72.76692962646484
channel_5_rmse_rad,1.175408959388733
channel_5_rmse_deg,67.3459701538086
channel_6_rmse_rad,1.1452529430389404
channel_6_rmse_deg,65.61815643310547
best_checkpoint_channel_1_rmse_rad,1.0737287998199463
best_checkpoint_channel_1_rmse_deg,61.52012634277344
best_checkpoint_channel_2_rmse_rad,0.9095908999443054
best_checkpoint_channel_2_rmse_deg,52.11571502685547
best_checkpoint_channel_3_rmse_rad,1.019927740097046
best_checkpoint_channel_3_rmse_deg,58.43755340576172
best_checkpoint_channel_4_rmse_rad,1.0109940767288208
best_checkpoint_channel_4_rmse_deg,57.925689697265625
best_checkpoint_channel_5_rmse_rad,0.9362308979034424
best_checkpoint_channel_5_rmse_deg,53.64207458496094
best_checkpoint_channel_6_rmse_rad,1.0340287685394287
best_checkpoint_channel_6_rmse_deg,59.245479583740234
