metric,value
model_name,cbc_lite_cnn
phase_loss,cyclic
unit_loss_weight,0.0
epochs,50
batch_size,64
learning_rate,0.001
device,cuda
sample_scope,full
parameter_count,822636
model_saved,True
train_seconds,697.316693
best_epoch,50
best_val_rmse_rad,1.1753137111663818
best_val_loss,0.9762974954118916
train_samples,716
val_samples,153
test_samples,155
rmse_rad,1.2817038297653198
rmse_deg,73.43622003130696
mae_rad,0.9992745518684387
mae_deg,57.25421439688821
mean_error_rad,-0.015962062403559685
mean_error_deg,-0.9145588080484166
loss,1.1088962785659298
best_checkpoint_test_rmse_rad,1.2817038297653198
best_checkpoint_test_rmse_deg,73.43622003130696
best_checkpoint_test_mae_rad,0.9992745518684387
best_checkpoint_test_mae_deg,57.25421439688821
best_checkpoint_test_loss,1.1088962785659298
channel_1_rmse_rad,1.306662678718567
channel_2_rmse_rad,1.2317957878112793
channel_3_rmse_rad,1.3717138767242432
channel_4_rmse_rad,1.3237688541412354
channel_5_rmse_rad,1.1718326807022095
channel_6_rmse_rad,1.2746549844741821
