metric,value
model_name,cbc_lite_cnn
phase_loss,cyclic_unit
unit_loss_weight,0.0
epochs,50
batch_size,64
learning_rate,0.001
device,cuda
sample_scope,full
parameter_count,822636
model_saved,True
train_seconds,702.9026904999998
best_epoch,38
best_val_rmse_rad,1.1586583852767944
best_val_loss,0.961413082733653
train_samples,716
val_samples,153
test_samples,155
rmse_rad,1.2604002952575684
rmse_deg,72.2156174153015
mae_rad,0.9810783267021179
mae_deg,56.21164749178829
mean_error_rad,-0.010309139266610146
mean_error_deg,-0.5906701703893541
loss,1.0857138864455684
best_checkpoint_test_rmse_rad,1.2558363676071167
best_checkpoint_test_rmse_deg,71.95412362292755
best_checkpoint_test_mae_rad,0.9805711507797241
best_checkpoint_test_mae_deg,56.18258845196448
best_checkpoint_test_loss,1.079198721916445
channel_1_rmse_rad,1.3032597303390503
channel_2_rmse_rad,1.1747357845306396
channel_3_rmse_rad,1.3528006076812744
channel_4_rmse_rad,1.2690409421920776
channel_5_rmse_rad,1.1954864263534546
channel_6_rmse_rad,1.2583484649658203
