metric,value
model_name,cbc_lite_cnn
phase_loss,mse
unit_loss_weight,0.0
epochs,50
batch_size,64
learning_rate,0.001
device,cuda
sample_scope,full
parameter_count,822636
model_saved,True
train_seconds,704.4601084000001
best_epoch,10
best_val_rmse_rad,1.1469736099243164
best_val_loss,0.35223669573372485
train_samples,716
val_samples,153
test_samples,155
rmse_rad,1.2353092432022095
rmse_deg,70.77800602898638
mae_rad,0.943960428237915
mae_deg,54.08494856539435
mean_error_rad,0.06150558218359947
mean_error_deg,3.5240102756152796
loss,0.4064262295922925
best_checkpoint_test_rmse_rad,1.219642996788025
best_checkpoint_test_rmse_deg,69.88039622864164
best_checkpoint_test_mae_rad,0.9514387249946594
best_checkpoint_test_mae_deg,54.513423407502174
best_checkpoint_test_loss,0.360826075461603
channel_1_rmse_rad,1.2775633335113525
channel_2_rmse_rad,1.1953628063201904
channel_3_rmse_rad,1.221822738647461
channel_4_rmse_rad,1.2756588459014893
channel_5_rmse_rad,1.1838442087173462
channel_6_rmse_rad,1.2542846202850342
